nace,description,electricity_sector,swiss_sector
Q,Human health and social work activities,FC_OTH_CP_E,Human health and social work activities
Q86,Human health activities,FC_OTH_CP_E,Human health and social work activities
Q87_Q88,Residential care activities,FC_OTH_CP_E,Human health and social work activities
R,"Arts, entertainment, recreation",FC_OTH_CP_E,"Arts, entertainment, recreation and other services"
R-U,"Arts, entertainment, recreation and other services",FC_OTH_CP_E,"Arts, entertainment, recreation and other services"
R90-R92,"Arts, entertainment, recreation",FC_OTH_CP_E,"Arts, entertainment, recreation and other services"
R93,Sports activities and amusement and recreation activities,FC_OTH_CP_E,"Arts, entertainment, recreation and other services"
S,Other personal service activities,FC_OTH_CP_E,"Arts, entertainment, recreation and other services"
S94,Activities of membership organisations,FC_OTH_CP_E,"Arts, entertainment, recreation and other services"
S95,Repair of computers and personal and household goods,FC_OTH_CP_E,"Arts, entertainment, recreation and other services"
S96,Other personal service activities,FC_OTH_CP_E,"Arts, entertainment, recreation and other services"
T,Households,FC_OTH_HH_E,Households
TOTAL,none,Total,Total
U,Activities of extraterritorial organisations and bodies,FC_OTH_CP_E,None
