Statistics Type,Period,Years,Month,Quarters,Consumption Domain Code,Consumption Domain,Source Domain Code,Source Domain,Cancellation type,Total
EECS-Electricity,2020-10,2020,Oct,Qtr4,FI,FI - Finland,FI,FI - Finland,AIB Member own country,1535665
EECS-Electricity,2020-10,2020,Oct,Qtr4,FR,FR - France,FR,FR - France,AIB Member own country,1563839
EECS-Electricity,2020-10,2020,Oct,Qtr4,GB,GB - United Kingdom,DK,DK - Denmark,Other,67004
EECS-Electricity,2020-10,2020,Oct,Qtr4,GB,GB - United Kingdom,NO,NO - Norway,Other,192932
EECS-Electricity,2020-10,2020,Oct,Qtr4,GR,GR - Greece,NO,NO - Norway,Other AIB member,2430
EECS-Electricity,2020-10,2020,Oct,Qtr4,HR,HR - Croatia,HR,HR - Croatia,AIB Member own country,34831
EECS-Electricity,2020-10,2020,Oct,Qtr4,HU,HU - Hungary,FR,FR - France,Other AIB member,19501
EECS-Electricity,2020-10,2020,Oct,Qtr4,HU,HU - Hungary,NO,NO - Norway,Other AIB member,153619
EECS-Electricity,2020-10,2020,Oct,Qtr4,IE,IE - Ireland,IE,IE - Ireland,AIB Member own country,631856
EECS-Electricity,2020-10,2020,Oct,Qtr4,IT,IT - Italy,IT,IT - Italy,AIB Member own country,89501
EECS-Electricity,2020-10,2020,Oct,Qtr4,LI,LI - Liechtenstein,CH,CH - Switzerland,EU/EEA/EC non AIB Member,23
EECS-Electricity,2020-10,2020,Oct,Qtr4,LT,LT - Lithuania,LT,LT - Lithuania,AIB Member own country,104891
EECS-Electricity,2020-10,2020,Oct,Qtr4,LU,LU - Luxembourg,LU,LU - Luxembourg,AIB Member own country,30000
EECS-Electricity,2020-10,2020,Oct,Qtr4,LV,LV - Latvia,EE,EE - Estonia,Other AIB member,6719
EECS-Electricity,2020-10,2020,Oct,Qtr4,LV,LV - Latvia,NO,NO - Norway,Other AIB member,570
EECS-Electricity,2020-10,2020,Oct,Qtr4,MK,MK - Macedonia,NO,NO - Norway,Other,59
EECS-Electricity,2020-10,2020,Oct,Qtr4,MT,MT - Malta,NO,NO - Norway,EU/EEA/EC non AIB Member,339000
EECS-Electricity,2020-10,2020,Oct,Qtr4,NL,NL - Netherlands,NL,NL - Netherlands,AIB Member own country,8572742
EECS-Electricity,2020-10,2020,Oct,Qtr4,NO,NO - Norway,NO,NO - Norway,AIB Member own country,1894838
EECS-Electricity,2020-10,2020,Oct,Qtr4,PL,PL - Poland,NO,NO - Norway,EU/EEA/EC non AIB Member,12461
EECS-Electricity,2020-10,2020,Oct,Qtr4,RO,RO - Romania,NO,NO - Norway,EU/EEA/EC non AIB Member,10486
EECS-Electricity,2020-10,2020,Oct,Qtr4,RS,RS - Serbia,NO,NO - Norway,Other AIB member,3107
EECS-Electricity,2020-10,2020,Oct,Qtr4,RS,RS - Serbia,RS,RS - Serbia,AIB Member own country,29423
EECS-Electricity,2020-10,2020,Oct,Qtr4,RU,RU - Russian Federation,NO,NO - Norway,Other,14748
EECS-Electricity,2020-10,2020,Oct,Qtr4,SE,SE - Sweden,SE,SE - Sweden,AIB Member own country,5774761
EECS-Electricity,2020-10,2020,Oct,Qtr4,SK,SK - Slovakia,SK,SK - Slovakia,AIB Member own country,96980
EECS-Electricity,2020-11,2020,Nov,Qtr4,AL,AL - Albania,NO,NO - Norway,EU/EEA/EC non AIB Member,592
EECS-Electricity,2020-11,2020,Nov,Qtr4,BE,BEB - Belgium (Brussels),BE,BEB - Belgium (Brussels),AIB Member own country,505435
EECS-Electricity,2020-11,2020,Nov,Qtr4,BE,BEF - Belgium (Flanders),BE,BEF - Belgium (Flanders),AIB Member own country,1201656
EECS-Electricity,2020-11,2020,Nov,Qtr4,BE,BEW - Belgium (Wallonia),BE,BEW - Belgium (Wallonia),AIB Member own country,494168
EECS-Electricity,2020-11,2020,Nov,Qtr4,BG,BG - Bulgaria,CZ,CZ - Czech Republic,EU/EEA/EC non AIB Member,236
EECS-Electricity,2020-11,2020,Nov,Qtr4,CH,CH - Switzerland,CH,CH - Switzerland,AIB Member own country,225279
EECS-Electricity,2020-11,2020,Nov,Qtr4,CZ,CZ - Czech Republic,CZ,CZ - Czech Republic,AIB Member own country,127188
EECS-Electricity,2020-11,2020,Nov,Qtr4,DE,DE - Germany,DE,DE - Germany,AIB Member own country,2606719
EECS-Electricity,2020-11,2020,Nov,Qtr4,DK,DK - Denmark,DK,DK - Denmark,AIB Member own country,396538
EECS-Electricity,2020-11,2020,Nov,Qtr4,EE,EE - Estonia,EE,EE - Estonia,AIB Member own country,41239
EECS-Electricity,2020-11,2020,Nov,Qtr4,FI,FI - Finland,FI,FI - Finland,AIB Member own country,971141
EECS-Electricity,2020-11,2020,Nov,Qtr4,FR,FR - France,FR,FR - France,AIB Member own country,2371989
EECS-Electricity,2020-11,2020,Nov,Qtr4,GB,GB - United Kingdom,EE,EE - Estonia,Other,1
EECS-Electricity,2020-11,2020,Nov,Qtr4,GB,GB - United Kingdom,IE,IE - Ireland,Other,156246
EECS-Electricity,2020-11,2020,Nov,Qtr4,GB,GB - United Kingdom,NO,NO - Norway,Other,1706758
EECS-Electricity,2020-11,2020,Nov,Qtr4,GR,GR - Greece,FI,FI - Finland,Other AIB member,1798
EECS-Electricity,2020-11,2020,Nov,Qtr4,HR,HR - Croatia,HR,HR - Croatia,AIB Member own country,694177
EECS-Electricity,2020-11,2020,Nov,Qtr4,HU,HU - Hungary,FI,FI - Finland,Other AIB member,26588
EECS-Electricity,2020-11,2020,Nov,Qtr4,HU,HU - Hungary,FR,FR - France,Other AIB member,114
EECS-Electricity,2020-11,2020,Nov,Qtr4,IE,IE - Ireland,IE,IE - Ireland,AIB Member own country,813485
EECS-Electricity,2020-11,2020,Nov,Qtr4,IS,IS - Iceland,IS,IS - Iceland,AIB Member own country,1033
EECS-Electricity,2020-11,2020,Nov,Qtr4,IT,IT - Italy,IT,IT - Italy,AIB Member own country,56273
EECS-Electricity,2020-11,2020,Nov,Qtr4,LT,LT - Lithuania,LT,LT - Lithuania,AIB Member own country,54844
EECS-Electricity,2020-11,2020,Nov,Qtr4,LU,LU - Luxembourg,LU,LU - Luxembourg,AIB Member own country,5044
EECS-Electricity,2020-11,2020,Nov,Qtr4,LV,LV - Latvia,EE,EE - Estonia,Other AIB member,1118
EECS-Electricity,2020-11,2020,Nov,Qtr4,MK,MK - Macedonia,NO,NO - Norway,Other,4169
EECS-Electricity,2020-11,2020,Nov,Qtr4,NL,NL - Netherlands,NL,NL - Netherlands,AIB Member own country,8604863
EECS-Electricity,2020-11,2020,Nov,Qtr4,NO,NO - Norway,NO,NO - Norway,AIB Member own country,1015737
EECS-Electricity,2020-11,2020,Nov,Qtr4,PT,PT - Portugal,PT,PT - Portugal,AIB Member own country,449703
EECS-Electricity,2020-11,2020,Nov,Qtr4,RO,RO - Romania,NO,NO - Norway,EU/EEA/EC non AIB Member,62222
EECS-Electricity,2020-11,2020,Nov,Qtr4,RS,RS - Serbia,FI,FI - Finland,Other AIB member,3227
EECS-Electricity,2020-11,2020,Nov,Qtr4,RS,RS - Serbia,RS,RS - Serbia,AIB Member own country,68939
EECS-Electricity,2020-11,2020,Nov,Qtr4,RU,RU - Russian Federation,FI,FI - Finland,Other,556
EECS-Electricity,2020-11,2020,Nov,Qtr4,SE,SE - Sweden,SE,SE - Sweden,AIB Member own country,2381461
EECS-Electricity,2020-11,2020,Nov,Qtr4,SI,SI - Slovenia,SI,SI - Slovenia,AIB Member own country,3705
EECS-Electricity,2020-11,2020,Nov,Qtr4,SK,SK - Slovakia,SK,SK - Slovakia,AIB Member own country,446562
EECS-Electricity,2020-11,2020,Nov,Qtr4,UA,UA - Ukraine,NO,NO - Norway,EU/EEA/EC non AIB Member,270
EECS-Electricity,2020-12,2020,Dec,Qtr4,AL,AL - Albania,NO,NO - Norway,EU/EEA/EC non AIB Member,612
EECS-Electricity,2020-12,2020,Dec,Qtr4,AT,AT - Austria,AT,AT - Austria,AIB Member own country,5373650
EECS-Electricity,2020-12,2020,Dec,Qtr4,BE,BEB - Belgium (Brussels),BE,BEB - Belgium (Brussels),AIB Member own country,30817
EECS-Electricity,2020-12,2020,Dec,Qtr4,BE,BEF - Belgium (Flanders),BE,BEF - Belgium (Flanders),AIB Member own country,1354926
EECS-Electricity,2020-12,2020,Dec,Qtr4,BE,BEW - Belgium (Wallonia),BE,BEW - Belgium (Wallonia),AIB Member own country,141673
EECS-Electricity,2020-12,2020,Dec,Qtr4,BG,BG - Bulgaria,CZ,CZ - Czech Republic,EU/EEA/EC non AIB Member,211
EECS-Electricity,2020-12,2020,Dec,Qtr4,BG,BG - Bulgaria,NO,NO - Norway,EU/EEA/EC non AIB Member,235
EECS-Electricity,2020-12,2020,Dec,Qtr4,CA,CA - Canada,NO,NO - Norway,Other,400
EECS-Electricity,2020-12,2020,Dec,Qtr4,CH,CH - Switzerland,CH,CH - Switzerland,AIB Member own country,149358
EECS-Electricity,2020-12,2020,Dec,Qtr4,CZ,CZ - Czech Republic,CZ,CZ - Czech Republic,AIB Member own country,47820
EECS-Electricity,2020-12,2020,Dec,Qtr4,DE,DE - Germany,DE,DE - Germany,AIB Member own country,6914514
EECS-Electricity,2020-12,2020,Dec,Qtr4,DK,DK - Denmark,DK,DK - Denmark,AIB Member own country,823197
EECS-Electricity,2020-12,2020,Dec,Qtr4,EE,EE - Estonia,EE,EE - Estonia,AIB Member own country,59520
EECS-Electricity,2020-12,2020,Dec,Qtr4,ES,ES - Spain,ES,ES - Spain,AIB Member own country,6757
EECS-Electricity,2020-12,2020,Dec,Qtr4,FI,FI - Finland,FI,FI - Finland,AIB Member own country,2071898
EECS-Electricity,2020-12,2020,Dec,Qtr4,FR,FR - France,FR,FR - France,AIB Member own country,2550462
EECS-Electricity,2020-12,2020,Dec,Qtr4,GB,GB - United Kingdom,CH,CH - Switzerland,Other,3112
EECS-Electricity,2020-12,2020,Dec,Qtr4,GB,GB - United Kingdom,DK,DK - Denmark,Other,163144
EECS-Electricity,2020-12,2020,Dec,Qtr4,GB,GB - United Kingdom,EE,EE - Estonia,Other,193172
EECS-Electricity,2020-12,2020,Dec,Qtr4,GB,GB - United Kingdom,NO,NO - Norway,Other,8162465
EECS-Electricity,2020-12,2020,Dec,Qtr4,GB,GB - United Kingdom,SE,SE - Sweden,Other,56203
EECS-Electricity,2020-12,2020,Dec,Qtr4,HR,HR - Croatia,HR,HR - Croatia,AIB Member own country,57223
EECS-Electricity,2020-12,2020,Dec,Qtr4,HU,HU - Hungary,CZ,CZ - Czech Republic,Other AIB member,9142
EECS-Electricity,2020-12,2020,Dec,Qtr4,HU,HU - Hungary,FR,FR - France,Other AIB member,42000
EECS-Electricity,2020-12,2020,Dec,Qtr4,HU,HU - Hungary,NO,NO - Norway,Other AIB member,50799
EECS-Electricity,2020-12,2020,Dec,Qtr4,IE,IE - Ireland,IE,IE - Ireland,AIB Member own country,1202622
EECS-Electricity,2020-12,2020,Dec,Qtr4,IT,IT - Italy,IT,IT - Italy,AIB Member own country,218186
EECS-Electricity,2020-12,2020,Dec,Qtr4,KZ,KZ - Kazakhstan,NO,NO - Norway,Other,1
EECS-Electricity,2020-12,2020,Dec,Qtr4,LI,LI - Liechtenstein,CH,CH - Switzerland,EU/EEA/EC non AIB Member,2
EECS-Electricity,2020-12,2020,Dec,Qtr4,LT,LT - Lithuania,LT,LT - Lithuania,AIB Member own country,341917
EECS-Electricity,2020-12,2020,Dec,Qtr4,LU,LU - Luxembourg,LU,LU - Luxembourg,AIB Member own country,94791
EECS-Electricity,2020-12,2020,Dec,Qtr4,LV,LV - Latvia,EE,EE - Estonia,Other AIB member,929
EECS-Electricity,2020-12,2020,Dec,Qtr4,MK,MK - Macedonia,NO,NO - Norway,Other,4989
EECS-Electricity,2020-12,2020,Dec,Qtr4,NL,NL - Netherlands,NL,NL - Netherlands,AIB Member own country,10933328
EECS-Electricity,2020-12,2020,Dec,Qtr4,NO,NO - Norway,NO,NO - Norway,AIB Member own country,2602211
EECS-Electricity,2020-12,2020,Dec,Qtr4,PL,PL - Poland,FR,FR - France,EU/EEA/EC non AIB Member,128720
EECS-Electricity,2020-12,2020,Dec,Qtr4,PL,PL - Poland,NO,NO - Norway,EU/EEA/EC non AIB Member,6000
EECS-Electricity,2020-12,2020,Dec,Qtr4,PT,PT - Portugal,PT,PT - Portugal,AIB Member own country,4573
EECS-Electricity,2020-12,2020,Dec,Qtr4,RO,RO - Romania,NO,NO - Norway,EU/EEA/EC non AIB Member,1464
EECS-Electricity,2020-12,2020,Dec,Qtr4,RS,RS - Serbia,RS,RS - Serbia,AIB Member own country,69734
EECS-Electricity,2020-12,2020,Dec,Qtr4,RU,RU - Russian Federation,NO,NO - Norway,Other,163411
EECS-Electricity,2020-12,2020,Dec,Qtr4,SE,SE - Sweden,SE,SE - Sweden,AIB Member own country,3645317
EECS-Electricity,2020-12,2020,Dec,Qtr4,SI,SI - Slovenia,SI,SI - Slovenia,AIB Member own country,995
EECS-Electricity,2020-12,2020,Dec,Qtr4,SK,SK - Slovakia,SK,SK - Slovakia,AIB Member own country,99577
EECS-Electricity,2020-12,2020,Dec,Qtr4,UA,UA - Ukraine,NO,NO - Norway,EU/EEA/EC non AIB Member,19
EECS-Electricity,2020-12,2020,Dec,Qtr4,US,US - United States of America,NO,NO - Norway,Other,56475
EECS-Electricity,2021-01,2021,Jan,Qtr1,AL,AL - Albania,NO,NO - Norway,EU/EEA/EC non AIB Member,75
EECS-Electricity,2021-01,2021,Jan,Qtr1,AT,AT - Austria,AT,AT - Austria,AIB Member own country,992841
EECS-Electricity,2021-01,2021,Jan,Qtr1,AU,AU - Australia,NO,NO - Norway,Other,405
EECS-Electricity,2021-01,2021,Jan,Qtr1,BE,BEB - Belgium (Brussels),BE,BEB - Belgium (Brussels),AIB Member own country,24900
EECS-Electricity,2021-01,2021,Jan,Qtr1,BE,BEF - Belgium (Flanders),BE,BEF - Belgium (Flanders),AIB Member own country,1138231
EECS-Electricity,2021-01,2021,Jan,Qtr1,BE,BEW - Belgium (Wallonia),BE,BEW - Belgium (Wallonia),AIB Member own country,392743
EECS-Electricity,2021-01,2021,Jan,Qtr1,BG,BG - Bulgaria,CZ,CZ - Czech Republic,EU/EEA/EC non AIB Member,813
EECS-Electricity,2021-01,2021,Jan,Qtr1,BG,BG - Bulgaria,NO,NO - Norway,EU/EEA/EC non AIB Member,4121
EECS-Electricity,2021-01,2021,Jan,Qtr1,CH,CH - Switzerland,CH,CH - Switzerland,AIB Member own country,552419
EECS-Electricity,2021-01,2021,Jan,Qtr1,CZ,CZ - Czech Republic,CZ,CZ - Czech Republic,AIB Member own country,418000
EECS-Electricity,2021-01,2021,Jan,Qtr1,DE,DE - Germany,DE,DE - Germany,AIB Member own country,24975558
EECS-Electricity,2021-01,2021,Jan,Qtr1,DK,DK - Denmark,DK,DK - Denmark,AIB Member own country,2127910
EECS-Electricity,2021-01,2021,Jan,Qtr1,EE,EE - Estonia,EE,EE - Estonia,AIB Member own country,50453
EECS-Electricity,2021-01,2021,Jan,Qtr1,ES,ES - Spain,ES,ES - Spain,AIB Member own country,108390
EECS-Electricity,2021-01,2021,Jan,Qtr1,FI,FI - Finland,FI,FI - Finland,AIB Member own country,2890000
EECS-Electricity,2021-01,2021,Jan,Qtr1,FR,FR - France,FR,FR - France,AIB Member own country,6600714
EECS-Electricity,2021-01,2021,Jan,Qtr1,GB,GB - United Kingdom,NO,NO - Norway,Other,292646
EECS-Electricity,2021-01,2021,Jan,Qtr1,GB,GB - United Kingdom,SE,SE - Sweden,Other,74361
EECS-Electricity,2021-01,2021,Jan,Qtr1,HR,HR - Croatia,HR,HR - Croatia,AIB Member own country,526908
EECS-Electricity,2021-01,2021,Jan,Qtr1,HU,HU - Hungary,CH,CH - Switzerland,Other AIB member,47510
EECS-Electricity,2021-01,2021,Jan,Qtr1,HU,HU - Hungary,CZ,CZ - Czech Republic,Other AIB member,274558
EECS-Electricity,2021-01,2021,Jan,Qtr1,HU,HU - Hungary,FR,FR - France,Other AIB member,52152
EECS-Electricity,2021-01,2021,Jan,Qtr1,HU,HU - Hungary,IS,IS - Iceland,Other AIB member,10000
EECS-Electricity,2021-01,2021,Jan,Qtr1,HU,HU - Hungary,NO,NO - Norway,Other AIB member,35704
EECS-Electricity,2021-01,2021,Jan,Qtr1,IE,IE - Ireland,IE,IE - Ireland,AIB Member own country,685895
EECS-Electricity,2021-01,2021,Jan,Qtr1,IS,IS - Iceland,IS,IS - Iceland,AIB Member own country,413839
EECS-Electricity,2021-01,2021,Jan,Qtr1,IT,IT - Italy,IT,IT - Italy,AIB Member own country,5704276
EECS-Electricity,2021-01,2021,Jan,Qtr1,LT,LT - Lithuania,LT,LT - Lithuania,AIB Member own country,61295
EECS-Electricity,2021-01,2021,Jan,Qtr1,LU,LU - Luxembourg,LU,LU - Luxembourg,AIB Member own country,251657
EECS-Electricity,2021-01,2021,Jan,Qtr1,LV,LV - Latvia,LV,LV - Latvia,AIB Member own country,34894
EECS-Electricity,2021-01,2021,Jan,Qtr1,MK,MK - Macedonia,NO,NO - Norway,Other,974
EECS-Electricity,2021-01,2021,Jan,Qtr1,MT,MT - Malta,FR,FR - France,EU/EEA/EC non AIB Member,37
EECS-Electricity,2021-01,2021,Jan,Qtr1,NL,NL - Netherlands,NL,NL - Netherlands,AIB Member own country,9894465
EECS-Electricity,2021-01,2021,Jan,Qtr1,NO,NO - Norway,NO,NO - Norway,AIB Member own country,2589664
EECS-Electricity,2021-01,2021,Jan,Qtr1,PL,PL - Poland,FR,FR - France,EU/EEA/EC non AIB Member,578
EECS-Electricity,2021-01,2021,Jan,Qtr1,PL,PL - Poland,NL,NL - Netherlands,EU/EEA/EC non AIB Member,200000
EECS-Electricity,2021-01,2021,Jan,Qtr1,PL,PL - Poland,NO,NO - Norway,EU/EEA/EC non AIB Member,1496
EECS-Electricity,2021-01,2021,Jan,Qtr1,PT,PT - Portugal,PT,PT - Portugal,AIB Member own country,255759
EECS-Electricity,2021-01,2021,Jan,Qtr1,RO,RO - Romania,FR,FR - France,EU/EEA/EC non AIB Member,29020
EECS-Electricity,2021-01,2021,Jan,Qtr1,RO,RO - Romania,NO,NO - Norway,EU/EEA/EC non AIB Member,3889
EECS-Electricity,2021-01,2021,Jan,Qtr1,RS,RS - Serbia,RS,RS - Serbia,AIB Member own country,35169
EECS-Electricity,2021-01,2021,Jan,Qtr1,RU,RU - Russian Federation,NO,NO - Norway,Other,1471
EECS-Electricity,2021-01,2021,Jan,Qtr1,SE,SE - Sweden,SE,SE - Sweden,AIB Member own country,5445500
EECS-Electricity,2021-01,2021,Jan,Qtr1,SI,SI - Slovenia,SI,SI - Slovenia,AIB Member own country,43366
EECS-Electricity,2021-01,2021,Jan,Qtr1,SK,SK - Slovakia,SK,SK - Slovakia,AIB Member own country,270324
EECS-Electricity,2021-01,2021,Jan,Qtr1,UA,UA - Ukraine,NO,NO - Norway,EU/EEA/EC non AIB Member,816
EECS-Electricity,2021-01,2021,Jan,Qtr1,US,US - United States of America,NO,NO - Norway,Other,13658
EECS-Electricity,2021-02,2021,Feb,Qtr1,AT,AT - Austria,AT,AT - Austria,AIB Member own country,644835
EECS-Electricity,2021-02,2021,Feb,Qtr1,BE,BEB - Belgium (Brussels),BE,BEB - Belgium (Brussels),AIB Member own country,1736
EECS-Electricity,2021-02,2021,Feb,Qtr1,BE,BEF - Belgium (Flanders),BE,BEF - Belgium (Flanders),AIB Member own country,1268861
EECS-Electricity,2021-02,2021,Feb,Qtr1,BE,BEW - Belgium (Wallonia),BE,BEW - Belgium (Wallonia),AIB Member own country,1433793
EECS-Electricity,2021-02,2021,Feb,Qtr1,BG,BG - Bulgaria,NO,NO - Norway,EU/EEA/EC non AIB Member,6273
EECS-Electricity,2021-02,2021,Feb,Qtr1,BY,BY - Belarus,NO,NO - Norway,Other,81
EECS-Electricity,2021-02,2021,Feb,Qtr1,CH,CH - Switzerland,CH,CH - Switzerland,AIB Member own country,451740
EECS-Electricity,2021-02,2021,Feb,Qtr1,CZ,CZ - Czech Republic,CZ,CZ - Czech Republic,AIB Member own country,501573
EECS-Electricity,2021-02,2021,Feb,Qtr1,DE,DE - Germany,DE,DE - Germany,AIB Member own country,14039307
EECS-Electricity,2021-02,2021,Feb,Qtr1,DK,DK - Denmark,DK,DK - Denmark,AIB Member own country,1114988
EECS-Electricity,2021-02,2021,Feb,Qtr1,EE,EE - Estonia,EE,EE - Estonia,AIB Member own country,92859
EECS-Electricity,2021-02,2021,Feb,Qtr1,ES,ES - Spain,ES,ES - Spain,AIB Member own country,267096
EECS-Electricity,2021-02,2021,Feb,Qtr1,FI,FI - Finland,FI,FI - Finland,AIB Member own country,3566556
EECS-Electricity,2021-02,2021,Feb,Qtr1,FR,FR - France,FR,FR - France,AIB Member own country,6775859
EECS-Electricity,2021-02,2021,Feb,Qtr1,GB,GB - United Kingdom,NO,NO - Norway,Other,1012166
EECS-Electricity,2021-02,2021,Feb,Qtr1,GB,GB - United Kingdom,SE,SE - Sweden,Other,759
EECS-Electricity,2021-02,2021,Feb,Qtr1,HR,HR - Croatia,HR,HR - Croatia,AIB Member own country,16576
EECS-Electricity,2021-02,2021,Feb,Qtr1,HU,HU - Hungary,CH,CH - Switzerland,Other AIB member,119566
EECS-Electricity,2021-02,2021,Feb,Qtr1,HU,HU - Hungary,NO,NO - Norway,Other AIB member,311771
EECS-Electricity,2021-02,2021,Feb,Qtr1,IE,IE - Ireland,IE,IE - Ireland,AIB Member own country,613197
EECS-Electricity,2021-02,2021,Feb,Qtr1,IS,IS - Iceland,IS,IS - Iceland,AIB Member own country,1402607
EECS-Electricity,2021-02,2021,Feb,Qtr1,IT,IT - Italy,IT,IT - Italy,AIB Member own country,5850022
EECS-Electricity,2021-02,2021,Feb,Qtr1,KZ,KZ - Kazakhstan,NO,NO - Norway,Other,3
EECS-Electricity,2021-02,2021,Feb,Qtr1,LT,LT - Lithuania,LT,LT - Lithuania,AIB Member own country,151096
EECS-Electricity,2021-02,2021,Feb,Qtr1,LU,LU - Luxembourg,LU,LU - Luxembourg,AIB Member own country,1174456
EECS-Electricity,2021-02,2021,Feb,Qtr1,LV,LV - Latvia,LV,LV - Latvia,AIB Member own country,68981
EECS-Electricity,2021-02,2021,Feb,Qtr1,MK,MK - Macedonia,NO,NO - Norway,Other,4
EECS-Electricity,2021-02,2021,Feb,Qtr1,NL,NL - Netherlands,NL,NL - Netherlands,AIB Member own country,11595067
EECS-Electricity,2021-02,2021,Feb,Qtr1,NO,NO - Norway,NO,NO - Norway,AIB Member own country,3574945
EECS-Electricity,2021-02,2021,Feb,Qtr1,NZ,NZ - New Zealand,NO,NO - Norway,Other,22200
EECS-Electricity,2021-02,2021,Feb,Qtr1,PL,PL - Poland,FR,FR - France,EU/EEA/EC non AIB Member,210
EECS-Electricity,2021-02,2021,Feb,Qtr1,PL,PL - Poland,NO,NO - Norway,EU/EEA/EC non AIB Member,74546
EECS-Electricity,2021-02,2021,Feb,Qtr1,PT,PT - Portugal,PT,PT - Portugal,AIB Member own country,393420
EECS-Electricity,2021-02,2021,Feb,Qtr1,RO,RO - Romania,NO,NO - Norway,EU/EEA/EC non AIB Member,63542
EECS-Electricity,2021-02,2021,Feb,Qtr1,RS,RS - Serbia,RS,RS - Serbia,AIB Member own country,24759
EECS-Electricity,2021-02,2021,Feb,Qtr1,RU,RU - Russian Federation,FI,FI - Finland,Other,40725
EECS-Electricity,2021-02,2021,Feb,Qtr1,RU,RU - Russian Federation,NO,NO - Norway,Other,2568
EECS-Electricity,2021-02,2021,Feb,Qtr1,SE,SE - Sweden,SE,SE - Sweden,AIB Member own country,8115096
EECS-Electricity,2021-02,2021,Feb,Qtr1,SI,SI - Slovenia,CH,CH - Switzerland,Other AIB member,1
EECS-Electricity,2021-02,2021,Feb,Qtr1,SI,SI - Slovenia,SI,SI - Slovenia,AIB Member own country,46255
EECS-Electricity,2021-02,2021,Feb,Qtr1,SK,SK - Slovakia,SK,SK - Slovakia,AIB Member own country,366498
EECS-Electricity,2021-02,2021,Feb,Qtr1,UA,UA - Ukraine,NO,NO - Norway,EU/EEA/EC non AIB Member,181
EECS-Electricity,2021-02,2021,Feb,Qtr1,US,US - United States of America,NO,NO - Norway,Other,160533
EECS-Electricity,2021-03,2021,Mar,Qtr1,AF,AF - Afghanistan,CZ,CZ - Czech Republic,Other,2011
EECS-Electricity,2021-03,2021,Mar,Qtr1,AL,AL - Albania,CH,CH - Switzerland,EU/EEA/EC non AIB Member,1092
EECS-Electricity,2021-03,2021,Mar,Qtr1,AL,AL - Albania,NO,NO - Norway,EU/EEA/EC non AIB Member,21428
EECS-Electricity,2021-03,2021,Mar,Qtr1,AR,AR - Argentina,NO,NO - Norway,Other,73
EECS-Electricity,2021-03,2021,Mar,Qtr1,AT,AT - Austria,AT,AT - Austria,AIB Member own country,14827460
EECS-Electricity,2021-03,2021,Mar,Qtr1,BE,BEB - Belgium (Brussels),BE,BEB - Belgium (Brussels),AIB Member own country,809625
EECS-Electricity,2021-03,2021,Mar,Qtr1,BE,BEF - Belgium (Flanders),BE,BEF - Belgium (Flanders),AIB Member own country,1304316
EECS-Electricity,2021-03,2021,Mar,Qtr1,BE,BEW - Belgium (Wallonia),BE,BEW - Belgium (Wallonia),AIB Member own country,2580393
EECS-Electricity,2021-03,2021,Mar,Qtr1,BG,BG - Bulgaria,CZ,CZ - Czech Republic,EU/EEA/EC non AIB Member,3241
EECS-Electricity,2021-03,2021,Mar,Qtr1,BG,BG - Bulgaria,FR,FR - France,EU/EEA/EC non AIB Member,26
EECS-Electricity,2021-03,2021,Mar,Qtr1,BG,BG - Bulgaria,NO,NO - Norway,EU/EEA/EC non AIB Member,19076
EECS-Electricity,2021-03,2021,Mar,Qtr1,BR,BR - Brazil,NO,NO - Norway,Other,1870
EECS-Electricity,2021-03,2021,Mar,Qtr1,CH,CH - Switzerland,CH,CH - Switzerland,AIB Member own country,6923526
EECS-Electricity,2021-03,2021,Mar,Qtr1,CL,CL - Chile,NO,NO - Norway,Other,57540
EECS-Electricity,2021-03,2021,Mar,Qtr1,CZ,CZ - Czech Republic,CZ,CZ - Czech Republic,AIB Member own country,264697
EECS-Electricity,2021-03,2021,Mar,Qtr1,DE,DE - Germany,DE,DE - Germany,AIB Member own country,24621095
EECS-Electricity,2021-03,2021,Mar,Qtr1,DK,DK - Denmark,DK,DK - Denmark,AIB Member own country,2721554
EECS-Electricity,2021-03,2021,Mar,Qtr1,EE,EE - Estonia,EE,EE - Estonia,AIB Member own country,184709
EECS-Electricity,2021-03,2021,Mar,Qtr1,ES,ES - Spain,ES,ES - Spain,AIB Member own country,7220559
EECS-Electricity,2021-03,2021,Mar,Qtr1,FI,FI - Finland,FI,FI - Finland,AIB Member own country,7785066
EECS-Electricity,2021-03,2021,Mar,Qtr1,FR,FR - France,FR,FR - France,AIB Member own country,20568209
EECS-Electricity,2021-03,2021,Mar,Qtr1,GB,GB - United Kingdom,IE,IE - Ireland,Other,88533
EECS-Electricity,2021-03,2021,Mar,Qtr1,GB,GB - United Kingdom,NO,NO - Norway,Other,12280874
EECS-Electricity,2021-03,2021,Mar,Qtr1,GB,GB - United Kingdom,SE,SE - Sweden,Other,69480
EECS-Electricity,2021-03,2021,Mar,Qtr1,GR,GR - Greece,CH,CH - Switzerland,Other AIB member,4474
EECS-Electricity,2021-03,2021,Mar,Qtr1,GR,GR - Greece,FI,FI - Finland,Other AIB member,8000
EECS-Electricity,2021-03,2021,Mar,Qtr1,HR,HR - Croatia,HR,HR - Croatia,AIB Member own country,1000473
EECS-Electricity,2021-03,2021,Mar,Qtr1,HU,HU - Hungary,CH,CH - Switzerland,Other AIB member,200
