Country/area,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
Austria,Onshore wind energy,Electricity capacity (MW),50.00,67.00,109.00,322.00,581.00,825.22,968.27,991.16,991.97,1000.99,1015.83,1105.97,1337.15,1674.54,2110.28,2488.73,2730.00,2886.70,3132.71,3224.12,3225.99,3523.99,
Austria,Offshore wind energy,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Austria,Solar,Electricity capacity (MW),5.00,7.00,9.00,23.00,27.00,21.02,22.39,24.24,30.12,48.92,88.81,174.07,337.48,625.97,785.25,937.10,1096.02,1268.97,1455.13,1702.09,2042.93,2691.93,
Austria,Solar photovoltaic,Electricity capacity (MW),5.00,7.00,9.00,23.00,27.00,21.02,22.39,24.24,30.12,48.92,88.81,174.07,337.48,625.97,785.25,937.10,1096.02,1268.97,1455.13,1702.09,2042.93,2691.93,
Austria,Concentrated solar power,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Austria,Bioenergy,Electricity capacity (MW),810.00,799.00,792.00,987.00,994.00,1596.39,1826.78,2080.92,2105.94,2178.87,2176.31,2249.46,1671.56,1507.32,1410.60,1396.34,1392.79,1289.77,1270.59,1249.31,1251.26,1251.26,
Austria,Solid biofuels,Electricity capacity (MW),786.00,772.00,772.00,948.00,948.00,1328.17,1550.24,1764.16,1765.47,1797.52,1831.53,1869.92,1393.11,1306.93,1220.70,1201.54,1187.52,1108.49,1093.87,1085.05,1086.22,1086.22,
Austria,Bagasse,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,,
Austria,Renewable municipal waste,Electricity capacity (MW),6.00,6.00,6.00,182.00,182.00,209.86,215.45,215.31,222.98,243.69,242.90,241.95,287.65,289.58,261.82,262.92,270.82,270.72,269.62,271.62,270.02,270.02,
Austria,Other solid biofuels,Electricity capacity (MW),780.00,766.00,766.00,766.00,766.00,1118.31,1334.79,1548.85,1542.49,1553.83,1588.63,1627.97,1105.46,1017.35,958.88,938.62,916.70,837.77,824.25,813.43,816.20,816.20,
