nace,description,electricity_sector,swiss_sector
N80,Security and investigation activities,FC_OTH_CP_E,"Real estate activities, professional, scientific, technical and administrative activities"
N81,Services to buildings and landscape activities,FC_OTH_CP_E,"Real estate activities, professional, scientific, technical and administrative activities"
N82,"Office administrative, office support and other business support activities",FC_OTH_CP_E,"Real estate activities, professional, scientific, technical and administrative activities"
O84,Public administration and defence; compulsory social security,FC_OTH_CP_E,Public administration
P85,Education,FC_OTH_CP_E,Education
Q86,Human health activities,FC_OTH_CP_E,Human health and social work activities
Q87,Residential care activities,FC_OTH_CP_E,Human health and social work activities
Q88,Social work activities without accommodation,FC_OTH_CP_E,Human health and social work activities
R90,"Creative, arts and entertainment activities",FC_OTH_CP_E,"Arts, entertainment, recreation and other services"
R91,"Libraries, archives, museums and other cultural activities",FC_OTH_CP_E,"Arts, entertainment, recreation and other services"
R92,Gambling and betting activities,FC_OTH_CP_E,"Arts, entertainment, recreation and other services"
R93,Sports activities and amusement and recreation activities,FC_OTH_CP_E,"Arts, entertainment, recreation and other services"
S94,Activities of membership organisations,FC_OTH_CP_E,"Arts, entertainment, recreation and other services"
S95,Repair of computers and personal and household goods,FC_OTH_CP_E,"Arts, entertainment, recreation and other services"
S96,Other personal service activities,FC_OTH_CP_E,"Arts, entertainment, recreation and other services"
T97,Activities of households as employers of domestic personnel,FC_OTH_HH_E,Households
T98,Undifferentiated goods- and services-producing activities of private households for own use,FC_OTH_HH_E,Households
