Country/area,Technology,Indicator, 2 000, 2 001, 2 002, 2 003, 2 004, 2 005, 2 006, 2 007, 2 008, 2 009, 2 010, 2 011, 2 012, 2 013, 2 014, 2 015, 2 016, 2 017, 2 018, 2 019, 2 020, 2 021
,Renewable hydropower,Electricity capacity (MW), 1 453, 1 453, 1 453, 1 453, 1 453, 1 453, 1 453, 1 455, 1 457, 1 459, 1 475, 1 508, 1 628, 1 781, 1 725, 1 798, 1 913, 2 047, 2 105, 2 162, 2 289, 2 289
,Pumped storage,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Marine,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Wind,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Onshore wind energy,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Offshore wind energy,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Solar,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  1,  1,  1,  1,  1,  14,  17,  22
,Solar photovoltaic,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  1,  1,  1,  1,  1,  14,  17,  22
,Concentrated solar power,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Bioenergy,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  1,  1
,Solid biofuels,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  1,  1
,Bagasse,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Renewable municipal waste,Electricity capacity (MW),  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  1,  1,  1
,Other solid biofuels,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Liquid biofuels,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Biogas,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
,Geothermal,Electricity capacity (MW),,,,,,,,,,,,,,,,,,,,,,
Andorra,Total renewable energy,Electricity capacity (MW),  30,  30,  30,  30,  30,  30,  35,  35,  51,  51,  51,  51,  51,  51,  51,  51,  51,  51,  52,  53,  54,  55
,Hydropower,Electricity capacity (MW),  30,  30,  30,  30,  30,  30,  30,  30,  46,  46,  46,  46,  46,  46,  46,  46,  46,  46,  46,  46,  46,  46
